Datum,1 mån,3 mån,6 mån
2023-12-04,3.99200,4.06000,3.99190
2023-12-05,3.99300,4.06100,3.99344
2023-12-06,3.96500,4.06100,3.96523
2023-12-07,3.96400,4.02200,3.96392
2023-12-08,3.96400,4.02200,3.96349
2023-12-11,3.96300,4.02200,3.96305
2023-12-12,3.96300,4.02200,3.96261
2023-12-13,3.98500,4.02100,3.96218
2023-12-14,3.79200,4.02100,3.96087
2023-12-15,3.98500,4.01200,3.96044
2023-12-18,3.92100,4.00800,3.86600
2023-12-19,3.98500,4.05700,4.02200
2023-12-20,3.98500,4.01100,4.02100
2023-12-21,3.96900,4.01000,4.11500
2023-12-22,3.96900,4.05800,4.02200
2023-12-27,3.94900,4.01000,4.02400
2023-12-28,3.96700,4.01300,4.09500
2023-12-29,3.96600,3.98400,4.02300
